query,ground_truth,top_ids,top_scores,correct_in_top_k,rank_of_correct,ground_truth_score
What lessons of non-violence did Dundubha impart to Ruru?,1.11,"['15.5', '14.76', '1.11', '12.15', '14.79']","[0.4647824764251709, 0.46463119983673096, 0.45770013332366943, 0.4566619098186493, 0.4509787857532501]",True,3.0,0.4577001631259918
How did Dundubha’s own life experiences influence his teachings to Ruru?,1.11,"['1.11', '1.10', '10.18', '12.122', '12.228']","[0.4895915389060974, 0.46039265394210815, 0.4354727566242218, 0.4170496463775635, 0.41533759236335754]",True,1.0,0.4895915389060974
Why was Ruru curious about Janamejaya’s snake charmer?,1.12,"['1.10', '1.53', '1.37', '12.327', '1.11']","[0.5710330009460449, 0.5152509212493896, 0.469696044921875, 0.46673986315727234, 0.4632466435432434]",False,,0.44490352272987366
How did Ruru’s father respond to or satisfy his curiosity?,1.12,"['13.91', '12.323', '10.18', '13.42', '13.86']","[0.53990238904953, 0.5258795022964478, 0.5152390003204346, 0.5073456764221191, 0.4987291693687439]",False,,0.29149389266967773
What was the significance of the snake charmer in Janamejaya’s story?,1.12,"['1.53', '1.60', '1.56', '1.37', '1.58']","[0.5859005451202393, 0.5606105327606201, 0.5501418113708496, 0.5484607815742493, 0.5178001523017883]",False,,0.46547234058380127
Why did Jaratkaru agree to marry at the request of his ancestors?,1.13,"['1.46', '1.14', '1.54', '1.47', '1.231']","[0.5624258518218994, 0.5454144477844238, 0.5239943265914917, 0.5032711625099182, 0.5013149976730347]",False,,0.47219032049179077
What was the background or reason behind Jaratkaru’s ancestors asking him to marry?,1.13,"['1.14', '1.46', '1.54', '1.47', '2.23']","[0.5621758699417114, 0.5358811020851135, 0.5242772102355957, 0.5217258334159851, 0.4942152798175812]",False,,0.46276798844337463
How did Jaratkaru’s marriage fulfill his ancestors’ wishes?,1.13,"['1.46', '1.14', '1.54', '1.38', '1.45']","[0.5077642202377319, 0.5054730176925659, 0.5017349123954773, 0.4632328450679779, 0.46224677562713623]",False,,0.44844910502433777
How did Jaratkaru come to marry Vasuki’s sister?,1.14,"['1.14', '1.47', '1.46', '1.54', '1.48']","[0.6013102531433105, 0.5487920045852661, 0.5087228417396545, 0.5025957822799683, 0.4892273247241974]",True,1.0,0.6013102531433105
What conditions or circumstances led to the union between Jaratkaru and Vasuki’s sister?,1.14,"['1.14', '1.47', '1.48', '1.54', '13.12']","[0.4905569553375244, 0.4715448021888733, 0.44732823967933655, 0.4164869487285614, 0.4148055911064148]",True,1.0,0.490556925535202
What is the significance of Jaratkaru’s marriage to Vasuki’s sister in the Mahabharata?,1.14,"['1.14', '1.47', '1.54', '1.46', '1.39']","[0.6225483417510986, 0.584092915058136, 0.5448139905929565, 0.5261944532394409, 0.5126705169677734]",True,1.0,0.6225483417510986
How did Vinata become Kadru’s slave?,1.23,"['1.20', '1.16', '1.25', '12.4', '14.29']","[0.43199339509010315, 0.41064491868019104, 0.40804484486579895, 0.3990486264228821, 0.39273887872695923]",False,,0.3452714681625366
What is the origin story of Garuda according to the Mahabharata?,1.23,"['1.34', '1.33', '1.23', '1.24', '1.29']","[0.655951976776123, 0.5363292694091797, 0.534778356552124, 0.5270086526870728, 0.5121749639511108]",True,3.0,0.534778356552124
Why did the gods praise Garuda after his birth?,1.23,"['1.34', '1.28', '1.23', '13.4', '14.8']","[0.4984860122203827, 0.41859954595565796, 0.4126836955547333, 0.4040072560310364, 0.4033800959587097]",True,3.0,0.41268372535705566
What was the relationship between Vinata and Kadru in this episode?,1.23,"['1.25', '1.20', '8.87', '3.230', '1.21']","[0.5034782290458679, 0.4690282940864563, 0.423667311668396, 0.42016637325286865, 0.4165101647377014]",False,,0.4088696241378784
Why did Garuda reduce his brilliance and size?,1.24,"['1.34', '5.112', '5.105', '1.24', '1.29']","[0.48409217596054077, 0.40902870893478394, 0.3805610239505768, 0.3792608976364136, 0.3780710995197296]",True,4.0,0.37926095724105835
How did Aruna come to occupy his place as the charioteer of the Sun?,1.24,"['1.225', '4.11', '7.60', '7.66', '14.29']","[0.42489367723464966, 0.41170263290405273, 0.4075580835342407, 0.39737194776535034, 0.3947320580482483]",False,,0.32360586524009705
"What caused Surya’s intense brilliance and anger, and how was it pacified?",1.24,"['15.30', '13.96', '13.141', '12.117', '15.16']","[0.5098382830619812, 0.5021049976348877, 0.4889821410179138, 0.4798356294631958, 0.4753108620643616]",False,,0.27830177545547485
"What connection exists between Garuda, Aruna, and the Sun in this story?",1.24,"['1.34', '1.24', '1.23', '1.33', '1.29']","[0.582018256187439, 0.5349675416946411, 0.5174601674079895, 0.5044949054718018, 0.45327258110046387]",True,2.0,0.5349675416946411
Why did Kadru praise Lord Indra in this section?,1.25,"['1.25', '8.91', '9.61', '7.158', '9.53']","[0.3047525882720947, 0.27785950899124146, 0.27031829953193665, 0.2636848986148834, 0.26343822479248047]",True,1.0,0.3047525882720947
How did Indra save the snake that had fainted from the sun’s heat?,1.25,"['12.112', '12.144', '12.319', '13.12', '12.153']","[0.44729742407798767, 0.44202709197998047, 0.43634557723999023, 0.43541276454925537, 0.4297250509262085]",False,,0.28299880027770996
How did Indra cause rain that pleased the serpents?,1.26,"['1.26', '1.53', '1.36', '13.4', '1.10']","[0.42660361528396606, 0.3717869520187378, 0.3585958480834961, 0.3544462323188782, 0.345852255821228]",True,1.0,0.4266035854816437
What events led to the serpents’ happiness after the rain?,1.26,"['1.27', '1.36', '1.26', '3.179', '12.156']","[0.4013415277004242, 0.3886089622974396, 0.3842562437057495, 0.37884676456451416, 0.33523842692375183]",True,3.0,0.3842562735080719
What is described about the forest of Ramaniyak Island?,1.27,"['6.6', '3.279', '6.11', '6.12', '9.39']","[0.5343347191810608, 0.4552323520183563, 0.45349550247192383, 0.4421563744544983, 0.4298456013202667]",False,,0.3955244719982147
How did Garuda plan to free himself from slavery to Kadru?,1.27,"['1.34', '1.29', '1.23', '1.30', '1.27']","[0.528603196144104, 0.4892984628677368, 0.44728732109069824, 0.44709762930870056, 0.43306225538253784]",True,5.0,0.43306225538253784
What role did the serpents play in Garuda’s attempt to gain freedom?,1.27,"['1.27', '1.34', '1.29', '1.28', '1.23']","[0.5335833430290222, 0.503211498260498, 0.45225590467453003, 0.42601221799850464, 0.4189346730709076]",True,1.0,0.5335833430290222
How is the beauty of Ramaniyak Island portrayed in the Mahabharata?,1.27,"['6.6', '6.11', '3.274', '3.115', '3.279']","[0.5154992938041687, 0.4379633367061615, 0.4287094473838806, 0.42588159441947937, 0.42381900548934937]",False,,0.3438776135444641
Why did Garuda go in search of nectar (amrita)?,1.28,"['1.34', '1.29', '1.23', '1.30', '1.33']","[0.5296875834465027, 0.5048670172691345, 0.4850395917892456, 0.45148348808288574, 0.4481046795845032]",False,,0.4470391273498535
Why did Garuda eat the Nishadas as instructed by his mother?,1.28,"['1.28', '1.29', '12.169', '13.91', '1.34']","[0.5070852637290955, 0.5045903921127319, 0.48399972915649414, 0.4711233973503113, 0.4690230190753937]",True,1.0,0.5070852637290955
What challenges did Garuda face on his journey for the nectar?,1.28,"['1.34', '1.29', '1.23', '1.28', '5.112']","[0.4626582860946655, 0.4109390079975128, 0.4030790328979492, 0.3908696174621582, 0.38955235481262207]",True,4.0,0.3908696174621582
What story did Kashyapa tell Garuda about the previous births of the elephant and the tortoise?,1.29,"['1.29', '1.30', '1.34', '1.31', '1.24']","[0.624758243560791, 0.5583452582359314, 0.5518722534179688, 0.5451644659042358, 0.5324094891548157]",True,1.0,0.6247583031654358
How did Garuda capture the elephant and the tortoise?,1.29,"['1.34', '1.29', '1.27', '1.23', '1.30']","[0.49816060066223145, 0.478757381439209, 0.46582847833633423, 0.455197811126709, 0.45221906900405884]",True,2.0,0.478757381439209
What happened when Garuda met Kashyapa after the banyan branch broke?,1.30,"['1.29', '1.34', '1.30', '12.169', '1.24']","[0.5583235621452332, 0.5394335389137268, 0.5025134086608887, 0.4754069447517395, 0.4538772702217102]",True,3.0,0.5025134086608887
Why did Kashyapa request the Valakhilyas to leave the branch for penance?,1.30,"['12.82', '13.5', '12.180', '12.74', '5.3']","[0.5144727230072021, 0.4839034080505371, 0.47458380460739136, 0.47164249420166016, 0.46001914143562317]",False,,0.3638647198677063
How did Indra insult the Valakhilya sages?,1.31,"['12.223', '13.5', '12.225', '12.281', '12.227']","[0.4349743127822876, 0.39214515686035156, 0.38691702485084534, 0.38319653272628784, 0.3826083540916443]",False,,0.3487344980239868
What penance did the Valakhilyas perform after being insulted by Indra?,1.31,"['13.5', '12.223', '14.91', '15.16', '13.18']","[0.5382674932479858, 0.4950728118419647, 0.46501022577285767, 0.4603998064994812, 0.4535735845565796]",False,,0.3669734001159668
Why did Garuda engage in battle with the gods?,1.32,"['1.34', '5.105', '2.23', '5.112', '1.33']","[0.46090757846832275, 0.43600690364837646, 0.4126320481300354, 0.39031267166137695, 0.3846132755279541]",False,,0.370957612991333
What was the outcome of Garuda’s battle against the gods?,1.32,"['1.34', '1.33', '1.29', '5.105', '1.23']","[0.5151541233062744, 0.42885470390319824, 0.4065454304218292, 0.4059608578681946, 0.3969704508781433]",False,,0.3833730220794678
"Which gods fought against Garuda, and how were they defeated?",1.32,"['13.161', '10.18', '13.17', '12.337', '13.4']","[0.4345426559448242, 0.4272514581680298, 0.42444273829460144, 0.42030879855155945, 0.4167153239250183]",False,,0.2684078812599182
What happened when Garuda returned with the nectar (amrita)?,1.33,"['1.34', '1.23', '1.29', '1.33', '1.25']","[0.5369284749031067, 0.48540860414505005, 0.47703295946121216, 0.46861350536346436, 0.46248531341552734]",True,4.0,0.46861350536346436
What boon did Lord Vishnu grant to Garuda on his journey?,1.33,"['5.112', '1.34', '14.8', '13.16', '5.105']","[0.45757895708084106, 0.4263426661491394, 0.41392213106155396, 0.3804800510406494, 0.3785470128059387]",False,,0.32364529371261597
"Why did Indra strike Garuda with his thunderbolt, and what was the result?",1.33,"['1.31', '12.103', '12.281', '1.34', '12.169']","[0.4523080587387085, 0.4361070990562439, 0.43402156233787537, 0.43260517716407776, 0.4283166825771332]",False,,0.32060113549232483
How did Indra and Garuda become friends after their conflict?,1.34,"['1.34', '1.29', '1.28', '1.31', '1.23']","[0.5392926931381226, 0.47401177883148193, 0.4588499665260315, 0.44972240924835205, 0.4391876757144928]",True,1.0,0.5392926931381226
What did Garuda do with the nectar when he arrived among the snakes?,1.34,"['1.27', '1.29', '1.34', '1.28', '1.53']","[0.5418356657028198, 0.5176823139190674, 0.5053006410598755, 0.5013373494148254, 0.49480244517326355]",True,3.0,0.5053006410598755
How was Vinata released from slavery through Garuda’s actions?,1.34,"['1.27', '9.52', '1.28', '5.112', '5.119']","[0.4457128643989563, 0.42963796854019165, 0.4162820875644684, 0.4010610580444336, 0.39852696657180786]",False,,0.39479607343673706
What boon did Brahma grant to Sheshnag as a result of his penance?,1.36,"['13.35', '12.272', '12.161', '13.103', '13.65']","[0.5520883798599243, 0.5517935752868652, 0.5362489223480225, 0.5163995027542114, 0.5070034265518188]",False,,0.2796608805656433
How did Sheshnag come to hold the earth upon his head?,1.36,"['1.36', '13.154', '12.3', '13.100', '12.177']","[0.39518511295318604, 0.37316322326660156, 0.3701941967010498, 0.3655317425727844, 0.3632774353027344]",True,1.0,0.39518511295318604
Why were the serpents cursed by their mother?,1.37,"['1.36', '1.37', '1.38', '1.54', '1.20']","[0.5077050924301147, 0.44412922859191895, 0.4394940435886383, 0.4269685447216034, 0.40916985273361206]",True,2.0,0.44412922859191895
How did Vasuki and the other serpents plan to escape from the curse?,1.37,"['1.37', '1.36', '3.179', '1.38', '1.57']","[0.5323446989059448, 0.4952872097492218, 0.4784436821937561, 0.46725088357925415, 0.46380388736724854]",True,1.0,0.5323446989059448
Why did Vasuki’s sister Jaratkaruka decide to marry Jaratkaru Muni?,1.38,"['1.14', '1.54', '1.47', '1.48', '1.46']","[0.5582680106163025, 0.5254461765289307, 0.5182700157165527, 0.4921225309371948, 0.4908287227153778]",False,,0.4118017554283142
What circumstances led to Jaratkaruka’s decision to marry the sage?,1.38,"['1.14', '1.47', '1.46', '2.23', '1.54']","[0.5172600746154785, 0.47682830691337585, 0.4755815267562866, 0.45684677362442017, 0.4537730813026428]",False,,0.386046826839447
What did Brahma instruct Vasukika to do regarding his sister’s marriage?,1.39,"['13.20', '12.94', '13.21', '13.46', '13.44']","[0.5294650793075562, 0.5043585896492004, 0.4922754168510437, 0.4905833601951599, 0.4844287037849426]",False,,0.25875407457351685
How did Vasukika approach Jaratkaru Muni for the marriage proposal?,1.39,"['1.14', '1.47', '1.40', '1.46', '1.233']","[0.5065118074417114, 0.47103357315063477, 0.4671895503997803, 0.4668939709663391, 0.4565098285675049]",False,,0.4233018159866333
What penance did Jaratkaru perform in this section?,1.40,"['14.92', '12.284', '14.90', '7.182', '1.46']","[0.40557336807250977, 0.3968905806541443, 0.3954760432243347, 0.3736923038959503, 0.3616046607494354]",False,,0.2835375666618347
What incident led King Parikshit to place a dead snake on the sage’s shoulder?,1.40,"['12.116', '12.117', '12.143', '12.172', '12.112']","[0.5616666078567505, 0.5387500524520874, 0.5234307646751404, 0.5080128908157349, 0.5066442489624023]",False,,0.4150702953338623
Why was Krushakaśṛṅgi distressed by the king’s act?,1.40,"['12.74', '14.76', '9.33', '12.15', '12.157']","[0.4777796268463135, 0.4574514329433441, 0.4561861753463745, 0.4463955760002136, 0.44465649127960205]",False,,0.24294602870941162
Why did Shringi Rishi curse King Parikshit?,1.41,"['1.41', '1.42', '1.50', '1.176', '3.197']","[0.5534234046936035, 0.5512971878051758, 0.4745757579803467, 0.4391441345214844, 0.4349147081375122]",True,1.0,0.5534234046936035
How did Sage Shamika react to his son Shringi’s curse?,1.41,"['1.42', '7.61', '1.41', '12.30', '4.41']","[0.5433319807052612, 0.409700870513916, 0.4058931767940521, 0.4050770699977875, 0.40374743938446045]",True,3.0,0.40589314699172974
Why did Shamika believe that the curse on King Parikshit was unfair?,1.41,"['1.42', '2.68', '12.178', '2.66', '6.54']","[0.47006887197494507, 0.42017704248428345, 0.41247886419296265, 0.40990984439849854, 0.40873414278030396]",False,,0.3439285159111023
What advice did Sage Shamika give his son after he cursed King Parikshit?,1.42,"['1.42', '12.143', '12.30', '10.6', '12.31']","[0.5351917147636414, 0.4625471234321594, 0.44247353076934814, 0.4398899972438812, 0.43366605043411255]",True,1.0,0.5351916551589966
Why did Shamika send Gaurmukha to deliver a message to King Parikshit?,1.42,"['1.42', '12.118', '1.50', '1.30', '14.8']","[0.45746707916259766, 0.4256930351257324, 0.42150402069091797, 0.4197712540626526, 0.4180687367916107]",True,1.0,0.45746707916259766
What preparations did King Parikshit make to protect himself from Takshaka’s curse?,1.42,"['12.116', '14.86', '10.16', '14.87', '12.117']","[0.4870738685131073, 0.4653896689414978, 0.46199649572372437, 0.46154698729515076, 0.46075239777565]",False,,0.3048534393310547
"Why did Takshaka offer money to Kashyapa, and why did Kashyapa return it?",1.43,"['1.43', '13.5', '12.333', '12.135', '12.180']","[0.5053384900093079, 0.48798036575317383, 0.48264646530151367, 0.476296067237854, 0.4712132215499878]",True,1.0,0.5053384900093079
How did Takshaka approach King Parikshit through deceit?,1.43,"['1.43', '2.59', '1.44', '1.56', '1.51']","[0.4623252749443054, 0.45470231771469116, 0.45361560583114624, 0.4533464312553406, 0.45135635137557983]",True,1.0,0.4623253047466278
How did Takshaka finally kill King Parikshit?,1.43,"['10.16', '8.68', '5.143', '8.37', '10.11']","[0.45299533009529114, 0.4445455074310303, 0.40297192335128784, 0.4025576710700989, 0.40147435665130615]",False,,0.3652774691581726
How did Janamejaya’s coronation ceremony take place?,1.44,"['15.35', '12.326', '5.86', '5.157', '12.40']","[0.48357096314430237, 0.466095894575119, 0.4642590582370758, 0.46317172050476074, 0.4621942639350891]",False,,0.377993106842041
"Whom did Janamejaya marry, and under what circumstances?",1.44,"['15.35', '1.116', '12.305', '9.52', '14.32']","[0.5815466642379761, 0.5613065958023071, 0.5269339084625244, 0.5024575591087341, 0.5010793209075928]",False,,0.4166618287563324
What did Jaratkaru see in his vision of his ancestors?,1.45,"['1.45', '1.46', '1.13', '1.14', '1.230']","[0.479133665561676, 0.46384263038635254, 0.4503740668296814, 0.4452921152114868, 0.4411327838897705]",True,1.0,0.479133665561676
What conversation took place between Jaratkaru and his forefathers?,1.45,"['1.14', '1.46', '1.45', '1.54', '1.47']","[0.5548386573791504, 0.5368601083755493, 0.4968857765197754, 0.4832167327404022, 0.4755266308784485]",True,3.0,0.4968857765197754
Why were Jaratkaru’s ancestors in distress in his vision?,1.45,"['1.45', '1.230', '1.231', '2.17', '10.17']","[0.45538830757141113, 0.42730382084846497, 0.4214687943458557, 0.39626747369766235, 0.37786605954170227]",True,1.0,0.4553883373737335
What condition did Jaratkaru set before agreeing to marry?,1.46,"['1.14', '2.23', '1.46', '1.47', '1.40']","[0.48095861077308655, 0.43680351972579956, 0.4341198205947876, 0.4177880585193634, 0.4112470746040344]",True,3.0,0.4341198205947876
How did Jaratkaru meet and marry the daughter of Vasukika?,1.46,"['1.14', '1.47', '1.46', '1.40', '1.54']","[0.6334189772605896, 0.5744861364364624, 0.5553100109100342, 0.5259931087493896, 0.5220401287078857]",True,3.0,0.5553100109100342
Why was Vasukika’s daughter also named Jaratkaru?,1.46,"['1.14', '1.54', '1.47', '1.40', '1.46']","[0.5876227021217346, 0.5469910502433777, 0.5461611747741699, 0.518775224685669, 0.5057270526885986]",True,5.0,0.5057271122932434
How was the marriage between Jaratkaru and the serpent girl solemnized?,1.47,"['1.48', '1.14', '1.54', '1.47', '1.38']","[0.507442831993103, 0.4989236295223236, 0.49747228622436523, 0.4958595335483551, 0.4856364130973816]",True,4.0,0.4958595931529999
How did the serpent girl serve her husband with devotion?,1.47,"['9.48', '12.357', '12.272', '9.52', '12.360']","[0.4318757653236389, 0.425296425819397, 0.4069766402244568, 0.4035349488258362, 0.3991851806640625]",False,,0.27253544330596924
Why did Sage Jaratkaru abandon his wife after marriage?,1.47,"['1.46', '1.14', '1.231', '1.47', '1.45']","[0.5372220873832703, 0.5241764187812805, 0.4875696897506714, 0.4789797067642212, 0.4653138518333435]",True,4.0,0.4789797067642212
Where did Jaratkaru go to perform penance after leaving his wife?,1.47,"['1.46', '1.14', '1.231', '9.52', '1.45']","[0.48362356424331665, 0.4690243601799011, 0.43675172328948975, 0.4206596612930298, 0.41362708806991577]",False,,0.37932130694389343
Why was Vasuki Naga troubled after Jaratkaru left his sister?,1.48,"['1.14', '1.47', '1.48', '1.54', '1.231']","[0.5100971460342407, 0.49815303087234497, 0.49538010358810425, 0.4825858771800995, 0.43286892771720886]",True,3.0,0.49538010358810425
How did Vasuki’s sister console or relieve her brother’s worries?,1.48,"['12.81', '12.139', '12.227', '12.16', '12.6']","[0.5502164959907532, 0.5223492383956909, 0.5172795653343201, 0.5119166374206543, 0.503463864326477]",False,,0.2691369354724884
"How was Aastika born, and who were his parents?",1.48,"['12.324', '12.327', '1.8', '12.323', '13.52']","[0.4505121111869812, 0.40313759446144104, 0.3994859457015991, 0.3944593071937561, 0.39429864287376404]",False,,0.25261783599853516
What qualities of righteousness and virtue did King Parikshit possess?,1.49,"['12.90', '12.92', '12.93', '12.58', '12.109']","[0.5259495377540588, 0.5094864368438721, 0.49283018708229065, 0.4725286066532135, 0.4551287293434143]",False,,0.33875057101249695
What happened during King Parikshit’s hunting expedition?,1.49,"['3.192', '1.40', '1.70', '1.130', '3.187']","[0.4666612148284912, 0.4596570134162903, 0.44272175431251526, 0.41979604959487915, 0.41307663917541504]",False,,0.37332436442375183
Why did King Parikshit insult or disdain the sage Shamika?,1.49,"['1.42', '12.117', '1.40', '7.55', '9.42']","[0.47632837295532227, 0.43539464473724365, 0.42427513003349304, 0.42270755767822266, 0.41150200366973877]",False,,0.34745556116104126
Why did Shringi Rishi curse King Parikshit?,1.50,"['1.41', '1.42', '1.50', '1.176', '3.197']","[0.5534234046936035, 0.5512971878051758, 0.4745757579803467, 0.4391441345214844, 0.4349147081375122]",True,3.0,0.47457578778266907
How did Takshaka fulfill the curse by killing King Parikshit?,1.50,"['10.16', '8.69', '1.43', '1.44', '1.56']","[0.4657668173313141, 0.4334452152252197, 0.42984387278556824, 0.42835932970046997, 0.42142626643180847]",False,,0.3745056390762329
Why did Kashyapa return after attempting to save Parikshit?,1.50,"['10.8', '12.180', '10.15', '9.30', '8.65']","[0.5118415951728821, 0.4938236176967621, 0.4845130741596222, 0.4818047285079956, 0.4762954115867615]",False,,0.18988429009914398
"How did Janamejaya react upon learning of his father’s death, and what vow did he make?",1.50,"['12.150', '15.35', '1.49', '11.1', '11.9']","[0.5612630844116211, 0.5464848875999451, 0.5428025126457214, 0.5370643734931946, 0.5327999591827393]",False,,0.20408876240253448
Why did the king decide to grant a boon to Aastika?,1.56,"['12.143', '12.116', '12.74', '14.29', '12.112']","[0.5245645046234131, 0.499353289604187, 0.4811994731426239, 0.46222272515296936, 0.45893341302871704]",False,,0.32181301712989807
Why was Takshaka Naga worried during the serpent sacrifice?,1.56,"['1.53', '1.52', '13.132', '1.51', '12.358']","[0.4456270933151245, 0.4369089901447296, 0.39473044872283936, 0.39472904801368713, 0.39394962787628174]",False,,0.3326030373573303
What boon did Aastika request from the king?,1.56,"['12.116', '12.74', '12.143', '12.125', '14.29']","[0.4987408220767975, 0.48046261072158813, 0.47924506664276123, 0.47823941707611084, 0.47625523805618286]",False,,0.2776874303817749
