query,ground_truth,top_ids,top_scores,correct_in_top_k,rank_of_correct,ground_truth_score
How did Lord Brahma pacify Agni and mitigate his curse?,1.7,"['1.7', '1.6', '1.234']","[0.67833411693573, 0.6164056062698364, 0.5612941980361938]",True,1.0,0.67833411693573
"Who was Pramadvara, and how was she born?",1.8,"['1.8', '3.305', '3.136']","[0.5307311415672302, 0.5137788653373718, 0.49101826548576355]",True,1.0,0.5307310819625854
What conversations took place between Pramadvara and Ruru before their marriage?,1.8,"['1.8', '1.9', '1.198']","[0.627167820930481, 0.6123568415641785, 0.5367231369018555]",True,1.0,0.6271677017211914
"How did Pramadvara die, and what caused her death?",1.8,"['1.8', '5.189', '12.30']","[0.4904865026473999, 0.4729435443878174, 0.4667261242866516]",True,1.0,0.4904864430427551
How was Pramadvara revived to live half of Ruru’s lifespan?,1.9,"['1.9', '1.8', '12.30']","[0.6060107350349426, 0.5888555645942688, 0.49090349674224854]",True,1.0,0.6060107946395874
What happened after Ruru and Pramadvara’s marriage?,1.9,"['1.8', '1.9', '1.198']","[0.6194864511489868, 0.5834788084030151, 0.5355582237243652]",True,2.0,0.5834788680076599
Why did Ruru vow to kill all snakes?,1.9,"['1.10', '1.11', '1.9']","[0.6136245727539062, 0.580687940120697, 0.5723831653594971]",True,3.0,0.5723832845687866
What teachings did Dundubhaka share with Ruru?,1.10,"['1.10', '1.11', '1.9']","[0.5613232851028442, 0.5356650948524475, 0.5199235081672668]",True,1.0,0.5613232851028442
What is the story of Dundubha’s past as revealed in his autobiography?,1.11,"['1.10', '3.204', '1.167']","[0.4208521842956543, 0.40390968322753906, 0.3915179371833801]",False,,0.3431228697299957
What lessons of non-violence did Dundubha impart to Ruru?,1.11,"['1.11', '1.10', '1.9']","[0.5661454796791077, 0.5416709184646606, 0.4927624464035034]",True,1.0,0.5661455392837524
How did Dundubha’s own life experiences influence his teachings to Ruru?,1.11,"['1.10', '1.9', '1.11']","[0.5386125445365906, 0.5019897222518921, 0.4996946454048157]",True,3.0,0.49969470500946045
Why was Ruru curious about Janamejaya’s snake charmer?,1.12,"['1.12', '1.11', '1.10']","[0.6427112817764282, 0.5898453593254089, 0.5682212114334106]",True,1.0,0.642711341381073
How did Ruru’s father respond to or satisfy his curiosity?,1.12,"['1.24', '1.9', '1.12']","[0.4428770840167999, 0.4196068048477173, 0.40229302644729614]",True,3.0,0.40229302644729614
What was the significance of the snake charmer in Janamejaya’s story?,1.12,"['1.3', '1.12', '1.54']","[0.6106095910072327, 0.6054955720901489, 0.5910709500312805]",True,2.0,0.6054955720901489
Why did Jaratkaru agree to marry at the request of his ancestors?,1.13,"['1.46', '1.45', '1.14']","[0.6761718988418579, 0.6147031784057617, 0.6072103977203369]",False,,0.566933274269104
What was the background or reason behind Jaratkaru’s ancestors asking him to marry?,1.13,"['1.46', '1.14', '1.45']","[0.6552324891090393, 0.6334348917007446, 0.608174204826355]",False,,0.5690286755561829
How did Jaratkaru’s marriage fulfill his ancestors’ wishes?,1.13,"['1.46', '1.45', '1.14']","[0.6661585569381714, 0.6180644035339355, 0.6038186550140381]",False,,0.5760319828987122
How did Jaratkaru come to marry Vasuki’s sister?,1.14,"['1.14', '1.39', '1.46']","[0.7623825073242188, 0.7186529636383057, 0.6826856136322021]",True,1.0,0.7623822689056396
What conditions or circumstances led to the union between Jaratkaru and Vasuki’s sister?,1.14,"['1.14', '1.39', '1.47']","[0.7310433983802795, 0.7217011451721191, 0.6708357334136963]",True,1.0,0.7310433387756348
What is the significance of Jaratkaru’s marriage to Vasuki’s sister in the Mahabharata?,1.14,"['1.14', '1.39', '1.46']","[0.6932703256607056, 0.6625611782073975, 0.6184536218643188]",True,1.0,0.693270206451416
How did Vinata become Kadru’s slave?,1.23,"['1.25', '1.16', '1.22']","[0.5795892477035522, 0.566357433795929, 0.5556254386901855]",False,,0.4940846562385559
What is the origin story of Garuda according to the Mahabharata?,1.23,"['1.23', '1.31', '1.33']","[0.6791170835494995, 0.676507294178009, 0.6239619255065918]",True,1.0,0.6791172027587891
Why did the gods praise Garuda after his birth?,1.23,"['1.23', '1.25', '1.33']","[0.6950842142105103, 0.659278154373169, 0.6414012908935547]",True,1.0,0.695084273815155
What was the relationship between Vinata and Kadru in this episode?,1.23,"['1.16', '1.22', '1.25']","[0.5822216272354126, 0.5630994439125061, 0.5545034408569336]",False,,0.46492862701416016
Why did Garuda reduce his brilliance and size?,1.24,"['1.23', '1.24', '1.33']","[0.6007988452911377, 0.5792568922042847, 0.5519700646400452]",True,2.0,0.5792567729949951
How did Aruna come to occupy his place as the charioteer of the Sun?,1.24,"['1.24', '4.36', '3.302']","[0.6549692153930664, 0.56080162525177, 0.5596587657928467]",True,1.0,0.6549690961837769
"What caused Surya’s intense brilliance and anger, and how was it pacified?",1.24,"['1.24', '3.226', '1.211']","[0.6227994561195374, 0.5802837014198303, 0.5733326077461243]",True,1.0,0.6227993965148926
"What connection exists between Garuda, Aruna, and the Sun in this story?",1.24,"['1.24', '1.33', '1.23']","[0.7056887149810791, 0.6161479949951172, 0.6017301082611084]",True,1.0,0.7056885361671448
Why did Kadru praise Lord Indra in this section?,1.25,"['1.25', '1.26', '5.16']","[0.6420086622238159, 0.6115566492080688, 0.5740052461624146]",True,1.0,0.6420085430145264
How did Indra save the snake that had fainted from the sun’s heat?,1.25,"['1.26', '1.25', '5.9']","[0.587870180606842, 0.5755520462989807, 0.5408139228820801]",True,2.0,0.5755521059036255
How did Indra cause rain that pleased the serpents?,1.26,"['1.26', '3.101', '5.10']","[0.6489841938018799, 0.548926830291748, 0.5437636375427246]",True,1.0,0.6489841938018799
What events led to the serpents’ happiness after the rain?,1.26,"['1.26', '1.27', '1.52']","[0.528308629989624, 0.45423462986946106, 0.44624415040016174]",True,1.0,0.528308629989624
What is described about the forest of Ramaniyak Island?,1.27,"['14.27', '1.27', '6.5']","[0.4839923679828644, 0.46351543068885803, 0.45926886796951294]",True,2.0,0.46351540088653564
How did Garuda plan to free himself from slavery to Kadru?,1.27,"['1.25', '1.23', '1.34']","[0.6253525018692017, 0.591383695602417, 0.5884589552879333]",False,,0.5826115608215332
What role did the serpents play in Garuda’s attempt to gain freedom?,1.27,"['1.27', '1.25', '1.34']","[0.6031497120857239, 0.601753830909729, 0.5920488834381104]",True,1.0,0.6031496524810791
How is the beauty of Ramaniyak Island portrayed in the Mahabharata?,1.27,"['6.5', '6.6', '3.155']","[0.5333319306373596, 0.5237458944320679, 0.5199584364891052]",False,,0.5127410888671875
Why did Garuda go in search of nectar (amrita)?,1.28,"['1.32', '1.28', '1.29']","[0.666462779045105, 0.6418926119804382, 0.6311620473861694]",True,2.0,0.641892671585083
Why did Garuda eat the Nishadas as instructed by his mother?,1.28,"['1.28', '1.29', '1.34']","[0.7432446479797363, 0.6636151671409607, 0.6433460712432861]",True,1.0,0.7432446479797363
What challenges did Garuda face on his journey for the nectar?,1.28,"['1.32', '1.27', '1.28']","[0.6554708480834961, 0.6288988590240479, 0.6235638856887817]",True,3.0,0.6235640645027161
What story did Kashyapa tell Garuda about the previous births of the elephant and the tortoise?,1.29,"['1.31', '1.16', '1.29']","[0.6260399222373962, 0.6007297039031982, 0.5872727632522583]",True,3.0,0.5872728228569031
How did Garuda capture the elephant and the tortoise?,1.29,"['1.29', '1.30', '1.33']","[0.5928049087524414, 0.5918397903442383, 0.5576403141021729]",True,1.0,0.5928047895431519
What happened when Garuda met Kashyapa after the banyan branch broke?,1.30,"['1.31', '1.29', '1.34']","[0.5839377641677856, 0.5747191905975342, 0.5712553262710571]",False,,0.5685796737670898
Why did Kashyapa request the Valakhilyas to leave the branch for penance?,1.30,"['1.182', '1.177', '1.176']","[0.5287377834320068, 0.5185188055038452, 0.5131293535232544]",False,,0.3968390226364136
How did Indra insult the Valakhilya sages?,1.31,"['3.101', '5.9', '3.124']","[0.5654935836791992, 0.5571860074996948, 0.5558725595474243]",False,,0.528803288936615
What penance did the Valakhilyas perform after being insulted by Indra?,1.31,"['5.9', '3.121', '1.175']","[0.5793828964233398, 0.555603563785553, 0.5542532205581665]",False,,0.5296462774276733
Why did Garuda engage in battle with the gods?,1.32,"['1.32', '1.25', '1.30']","[0.6177778244018555, 0.6090089082717896, 0.5973853468894958]",True,1.0,0.617777943611145
What was the outcome of Garuda’s battle against the gods?,1.32,"['1.32', '1.25', '1.30']","[0.6306897401809692, 0.6050435304641724, 0.5918897986412048]",True,1.0,0.6306896805763245
"Which gods fought against Garuda, and how were they defeated?",1.32,"['1.25', '1.30', '1.32']","[0.6137412786483765, 0.6078270673751831, 0.6072127223014832]",True,3.0,0.6072127223014832
What happened when Garuda returned with the nectar (amrita)?,1.33,"['1.32', '1.19', '1.30']","[0.7209738492965698, 0.6793563961982727, 0.6498241424560547]",False,,0.6312733888626099
What boon did Lord Vishnu grant to Garuda on his journey?,1.33,"['1.33', '1.23', '1.25']","[0.6514805555343628, 0.6208582520484924, 0.6106035709381104]",True,1.0,0.6514803767204285
"Why did Indra strike Garuda with his thunderbolt, and what was the result?",1.33,"['1.25', '1.31', '1.33']","[0.6468432545661926, 0.6393263936042786, 0.6342846751213074]",True,3.0,0.6342847347259521
How did Indra and Garuda become friends after their conflict?,1.34,"['1.34', '1.25', '1.33']","[0.6783873438835144, 0.6056888699531555, 0.6025322675704956]",True,1.0,0.6783874034881592
What did Garuda do with the nectar when he arrived among the snakes?,1.34,"['1.28', '1.27', '1.32']","[0.6697084903717041, 0.6435853838920593, 0.6381392478942871]",False,,0.6304238438606262
How was Vinata released from slavery through Garuda’s actions?,1.34,"['1.25', '1.23', '1.31']","[0.6077485084533691, 0.6018365025520325, 0.5763437747955322]",False,,0.5688174962997437
What boon did Brahma grant to Sheshnag as a result of his penance?,1.36,"['1.36', '12.361', '1.56']","[0.5979715585708618, 0.503130316734314, 0.49351924657821655]",True,1.0,0.5979714393615723
How did Sheshnag come to hold the earth upon his head?,1.36,"['1.36', '1.18', '1.26']","[0.6536921858787537, 0.4877484440803528, 0.47314363718032837]",True,1.0,0.6536921262741089
Why were the serpents cursed by their mother?,1.37,"['1.37', '1.20', '1.38']","[0.5494781732559204, 0.5276622772216797, 0.5201871395111084]",True,1.0,0.54947829246521
How did Vasuki and the other serpents plan to escape from the curse?,1.37,"['1.37', '1.38', '1.39']","[0.6667674779891968, 0.6418265104293823, 0.6298233270645142]",True,1.0,0.6667675971984863
Why did Vasuki’s sister Jaratkaruka decide to marry Jaratkaru Muni?,1.38,"['1.14', '1.46', '1.39']","[0.7348750233650208, 0.6744211316108704, 0.6641845703125]",False,,0.5554951429367065
What circumstances led to Jaratkaruka’s decision to marry the sage?,1.38,"['1.46', '1.14', '1.47']","[0.6411473155021667, 0.6283657550811768, 0.564992368221283]",False,,0.45847880840301514
What did Brahma instruct Vasukika to do regarding his sister’s marriage?,1.39,"['1.14', '1.39', '1.46']","[0.6157403588294983, 0.6079983711242676, 0.5844166278839111]",True,2.0,0.6079983115196228
How did Vasukika approach Jaratkaru Muni for the marriage proposal?,1.39,"['1.14', '1.46', '1.39']","[0.6761455535888672, 0.6631057262420654, 0.5862331390380859]",True,3.0,0.5862331390380859
What penance did Jaratkaru perform in this section?,1.40,"['1.45', '1.46', '12.152']","[0.5515602231025696, 0.5509026050567627, 0.541301965713501]",False,,0.5073592066764832
What incident led King Parikshit to place a dead snake on the sage’s shoulder?,1.40,"['1.41', '1.40', '1.42']","[0.6573666334152222, 0.6522728204727173, 0.6422553062438965]",True,2.0,0.6522728204727173
Why was Krushakaśṛṅgi distressed by the king’s act?,1.40,"['1.41', '2.37', '3.311']","[0.5548523664474487, 0.5184261798858643, 0.5153880715370178]",False,,0.48741990327835083
Why did Shringi Rishi curse King Parikshit?,1.41,"['1.41', '1.40', '1.42']","[0.7058111429214478, 0.6439369916915894, 0.6415179967880249]",True,1.0,0.7058113813400269
How did Sage Shamika react to his son Shringi’s curse?,1.41,"['1.41', '3.137', '12.30']","[0.6018628478050232, 0.5493448972702026, 0.5460310578346252]",True,1.0,0.6018627882003784
Why did Shamika believe that the curse on King Parikshit was unfair?,1.41,"['1.41', '1.107', '1.42']","[0.6112076044082642, 0.558504045009613, 0.5578154921531677]",True,1.0,0.6112074851989746
What advice did Sage Shamika give his son after he cursed King Parikshit?,1.42,"['1.41', '1.42', '1.40']","[0.6577111482620239, 0.6207839250564575, 0.5982040762901306]",True,2.0,0.6207838654518127
Why did Shamika send Gaurmukha to deliver a message to King Parikshit?,1.42,"['1.42', '1.41', '1.49']","[0.5406870245933533, 0.5051406621932983, 0.5017425417900085]",True,1.0,0.5406869649887085
What preparations did King Parikshit make to protect himself from Takshaka’s curse?,1.42,"['1.42', '1.43', '1.51']","[0.683644711971283, 0.6401604413986206, 0.6318719983100891]",True,1.0,0.6836447715759277
"Why did Takshaka offer money to Kashyapa, and why did Kashyapa return it?",1.43,"['1.3', '1.43', '1.44']","[0.5247889161109924, 0.5199464559555054, 0.5008718967437744]",True,2.0,0.5199463963508606
How did Takshaka approach King Parikshit through deceit?,1.43,"['1.43', '1.42', '1.44']","[0.6413384079933167, 0.6281213164329529, 0.5973706245422363]",True,1.0,0.6413383483886719
How did Takshaka finally kill King Parikshit?,1.43,"['1.43', '1.42', '1.49']","[0.6771758794784546, 0.6601742506027222, 0.6154639720916748]",True,1.0,0.6771758794784546
How did Janamejaya’s coronation ceremony take place?,1.44,"['12.40', '1.3', '1.55']","[0.6404455900192261, 0.605633020401001, 0.5972501039505005]",False,,0.5787813663482666
"Whom did Janamejaya marry, and under what circumstances?",1.44,"['1.44', '1.46', '1.13']","[0.6310526132583618, 0.580073893070221, 0.5612709522247314]",True,1.0,0.6310524940490723
What did Jaratkaru see in his vision of his ancestors?,1.45,"['1.45', '15.32', '1.46']","[0.6014110445976257, 0.5306308269500732, 0.5167504549026489]",True,1.0,0.6014111638069153
What conversation took place between Jaratkaru and his forefathers?,1.45,"['1.45', '1.46', '1.40']","[0.6548327803611755, 0.5946063995361328, 0.5480695962905884]",True,1.0,0.6548327207565308
Why were Jaratkaru’s ancestors in distress in his vision?,1.45,"['1.45', '1.46', '1.40']","[0.6210020780563354, 0.5472031831741333, 0.5338307619094849]",True,1.0,0.6210019588470459
What condition did Jaratkaru set before agreeing to marry?,1.46,"['1.46', '1.14', '1.47']","[0.6340668201446533, 0.6174495220184326, 0.5335099101066589]",True,1.0,0.6340667605400085
How did Jaratkaru meet and marry the daughter of Vasukika?,1.46,"['1.14', '1.46', '1.39']","[0.684846043586731, 0.6625074148178101, 0.5905473828315735]",True,2.0,0.6625075340270996
Why was Vasukika’s daughter also named Jaratkaru?,1.46,"['1.14', '1.46', '1.47']","[0.6486717462539673, 0.6177959442138672, 0.5797080993652344]",True,2.0,0.617796003818512
How was the marriage between Jaratkaru and the serpent girl solemnized?,1.47,"['1.46', '1.14', '1.39']","[0.6672149896621704, 0.6637817621231079, 0.6297128796577454]",False,,0.6224644184112549
How did the serpent girl serve her husband with devotion?,1.47,"['1.47', '1.39', '12.359']","[0.5153510570526123, 0.5117968320846558, 0.49884313344955444]",True,1.0,0.5153509974479675
Why did Sage Jaratkaru abandon his wife after marriage?,1.47,"['1.46', '1.14', '1.47']","[0.6043767929077148, 0.5848129987716675, 0.5780845880508423]",True,3.0,0.5780845284461975
Where did Jaratkaru go to perform penance after leaving his wife?,1.47,"['1.46', '1.14', '1.119']","[0.5853666663169861, 0.5633558034896851, 0.5604619979858398]",False,,0.5583539009094238
Why was Vasuki Naga troubled after Jaratkaru left his sister?,1.48,"['1.39', '1.47', '1.14']","[0.6738035082817078, 0.654600203037262, 0.6371793746948242]",False,,0.6218882203102112
How did Vasuki’s sister console or relieve her brother’s worries?,1.48,"['1.39', '1.48', '1.47']","[0.6400569677352905, 0.5879701375961304, 0.5781809687614441]",True,2.0,0.5879701375961304
"How was Aastika born, and who were his parents?",1.48,"['1.48', '1.13', '1.16']","[0.5730001926422119, 0.5712001323699951, 0.558477520942688]",True,1.0,0.5730001926422119
What qualities of righteousness and virtue did King Parikshit possess?,1.49,"['12.152', '12.92', '1.49']","[0.609284520149231, 0.6035510897636414, 0.5933606624603271]",True,3.0,0.5933606028556824
What happened during King Parikshit’s hunting expedition?,1.49,"['1.49', '1.40', '1.42']","[0.6435019969940186, 0.6115753650665283, 0.5973252058029175]",True,1.0,0.6435019373893738
Why did King Parikshit insult or disdain the sage Shamika?,1.49,"['1.41', '1.40', '1.49']","[0.5977457165718079, 0.5792000889778137, 0.5538233518600464]",True,3.0,0.5538233518600464
Why did Shringi Rishi curse King Parikshit?,1.50,"['1.41', '1.40', '1.42']","[0.7058111429214478, 0.6439369916915894, 0.6415179967880249]",False,,0.5146352052688599
How did Takshaka fulfill the curse by killing King Parikshit?,1.50,"['1.42', '1.43', '1.44']","[0.67805016040802, 0.6668683290481567, 0.620409369468689]",False,,0.5605322122573853
Why did Kashyapa return after attempting to save Parikshit?,1.50,"['1.42', '1.40', '1.43']","[0.5847449898719788, 0.5784472823143005, 0.5729659795761108]",False,,0.5177356004714966
"How did Janamejaya react upon learning of his father’s death, and what vow did he make?",1.50,"['1.49', '1.3', '1.50']","[0.6377302408218384, 0.6131755113601685, 0.6024459004402161]",True,3.0,0.6024457812309265
Why did the king decide to grant a boon to Aastika?,1.56,"['1.56', '1.58', '1.13']","[0.6300806999206543, 0.5921413898468018, 0.5818018913269043]",True,1.0,0.6300806999206543
Why was Takshaka Naga worried during the serpent sacrifice?,1.56,"['1.53', '1.51', '1.38']","[0.6262710094451904, 0.6016384363174438, 0.5994046926498413]",False,,0.5366470813751221
What boon did Aastika request from the king?,1.56,"['1.56', '1.58', '1.13']","[0.5825486779212952, 0.5346705913543701, 0.5320303440093994]",True,1.0,0.5825488567352295
Which were the chief snakes that were burnt in Janamejaya’s serpent sacrifice?,1.57,"['1.57', '1.52', '1.53']","[0.7417479753494263, 0.6865090131759644, 0.6819326877593994]",True,1.0,0.7417479753494263
How are the names of the serpents listed or described in this chapter?,1.57,"['1.57', '1.35', '1.52']","[0.5970515608787537, 0.5765742063522339, 0.511358380317688]",True,1.0,0.5970515012741089
When did Vyasa arrive at Janamejaya’s Yajna?,1.60,"['1.60', '15.32', '9.51']","[0.6957659721374512, 0.6166558265686035, 0.5927778482437134]",True,1.0,0.6957659125328064
Who requested Vaishampayana to narrate the Mahabharata?,1.60,"['1.60', '1.59', '1.95']","[0.6520684957504272, 0.6312041282653809, 0.5685796737670898]",True,1.0,0.6520684957504272
In which episode does Vyasa ask Vaishampayana to tell the story of the Mahabharata?,1.60,"['1.60', '1.59', '12.328']","[0.6343930959701538, 0.6270807981491089, 0.562965452671051]",True,1.0,0.6343929171562195
Where in the Mahabharata is the narration of the epic formally begun?,1.60,"['1.59', '10.13', '1.60']","[0.5460524559020996, 0.486630916595459, 0.4860957860946655]",True,3.0,0.4860958456993103
Who initiated the recitation of the Mahabharata during Janamejaya’s sacrifice?,1.60,"['1.60', '1.51', '1.59']","[0.6651945114135742, 0.6147379875183105, 0.6092860698699951]",True,1.0,0.6651943922042847
Which section describes King Dushyanta’s power and governance abilities?,1.68,"['1.69', '1.73', '1.70']","[0.5784333944320679, 0.5783780813217163, 0.5758863091468811]",False,,0.5476827621459961
How is King Dushyanta’s rule and strength depicted in the Mahabharata?,1.68,"['7.43', '1.139', '1.68']","[0.5634357333183289, 0.5631681680679321, 0.5622469186782837]",True,3.0,0.5622467994689941
Where is Dushyanta’s administrative skill and valor mentioned?,1.68,"['1.69', '1.70', '1.73']","[0.5822680592536926, 0.5338361263275146, 0.5225252509117126]",False,,0.48788511753082275
What attributes made King Dushyanta a capable ruler according to the text?,1.68,"['12.118', '1.68', '1.73']","[0.5786715745925903, 0.5571278929710388, 0.5526374578475952]",True,2.0,0.5571278929710388
Where does King Dushyanta go hunting in the Mahabharata?,1.69,"['1.69', '3.240', '3.239']","[0.6513794660568237, 0.6137423515319824, 0.5997684597969055]",True,1.0,0.6513794660568237
Which chapter narrates Dushyanta’s hunting expedition in the forest?,1.69,"['1.69', '3.264', '1.70']","[0.6493707895278931, 0.5685176253318787, 0.5599339604377747]",True,1.0,0.6493707895278931
What animals does King Dushyanta hunt and kill?,1.69,"['1.69', '1.70', '3.240']","[0.6448203325271606, 0.5696189403533936, 0.5621679425239563]",True,1.0,0.6448203325271606
Which passage describes Dushyanta’s encounter with wild beasts?,1.69,"['1.69', '1.70', '11.5']","[0.6439085006713867, 0.6058283448219299, 0.5943878889083862]",True,1.0,0.6439086198806763
Which chapter describes Kanva’s ashram and its surroundings?,1.70,"['1.70', '3.177', '1.156']","[0.5551000833511353, 0.5273988246917725, 0.5257388353347778]",True,1.0,0.5551000833511353
When does King Dushyanta enter Sage Kanva’s hermitage?,1.70,"['1.70', '1.69', '1.71']","[0.6809107065200806, 0.651137113571167, 0.633476972579956]",True,1.0,0.680910587310791
Where is the Tapovan described in connection with Dushyanta?,1.70,"['1.69', '1.171', '1.70']","[0.5694164633750916, 0.5426273345947266, 0.5352692008018494]",True,3.0,0.5352691411972046
Which scene introduces Dushyanta’s arrival at Kanva’s ashram?,1.70,"['1.70', '1.69', '1.71']","[0.621512770652771, 0.6069430708885193, 0.5906826257705688]",True,1.0,0.6215128302574158
Where does Dushyanta first meet and converse with Shakuntala?,1.71,"['1.69', '1.73', '1.72']","[0.6240397095680237, 0.5825520753860474, 0.5688721537590027]",False,,0.5559409856796265
In which part does Shakuntala narrate the story of her birth?,1.71,"['1.72', '1.69', '1.73']","[0.6772356629371643, 0.6171244382858276, 0.5774093866348267]",False,,0.5702146291732788
Which episode describes Indra sending Menaka to disturb Vishwamitra’s penance?,1.71,"['1.71', '1.72', '3.276']","[0.5632070302963257, 0.5590953826904297, 0.5245980620384216]",True,1.0,0.5632070302963257
How are Shakuntala’s origins connected to Vishwamitra and Menaka in the Mahabharata?,1.71,"['1.72', '1.71', '1.69']","[0.7010337710380554, 0.6215038895606995, 0.5688033699989319]",True,2.0,0.6215039491653442
Which chapter narrates the meeting of Menaka and Vishwamitra?,1.72,"['1.71', '1.72', '3.123']","[0.5972564220428467, 0.583321750164032, 0.5024048089981079]",True,2.0,0.5833218097686768
Where is the birth and rescue of the child Shakuntala described?,1.72,"['1.72', '1.69', '1.71']","[0.6313199400901794, 0.6161842346191406, 0.5454943180084229]",True,1.0,0.6313199996948242
"Who raised Shakuntala after her birth, and how did she get her name?",1.72,"['1.72', '1.69', '1.71']","[0.5980418920516968, 0.5321670770645142, 0.49637123942375183]",True,1.0,0.598041832447052
How did the Shakunta birds protect the infant Shakuntala?,1.72,"['1.72', '1.69', '1.71']","[0.5655574798583984, 0.5467706322669983, 0.5078856348991394]",True,1.0,0.5655573606491089
Which section describes the Gandharva marriage between Shakuntala and Dushyanta?,1.73,"['1.73', '1.69', '1.72']","[0.6545908451080322, 0.6104347705841064, 0.5737910270690918]",True,1.0,0.6545907855033875
Who approved the marriage of Shakuntala and Dushyanta in the Mahabharata?,1.73,"['1.73', '1.69', '1.72']","[0.6576934456825256, 0.5497705340385437, 0.5343037843704224]",True,1.0,0.65769362449646
What type of marriage took place between Shakuntala and Dushyanta?,1.73,"['1.73', '1.69', '1.71']","[0.6353675723075867, 0.5486342310905457, 0.5057494044303894]",True,1.0,0.6353676319122314
In which part is Kanva’s approval of Shakuntala’s marriage mentioned?,1.73,"['1.73', '1.72', '1.71']","[0.6760776042938232, 0.5929489135742188, 0.5427392721176147]",True,1.0,0.6760776042938232
Which chapter narrates the birth of Shakuntala’s son Bharata?,1.74,"['1.69', '1.72', '1.74']","[0.645341694355011, 0.5770938396453857, 0.5731214880943298]",True,3.0,0.5731215476989746
Where does Shakuntala meet Dushyanta after giving birth to her son?,1.74,"['1.69', '1.73', '1.72']","[0.6482553482055664, 0.6066994071006775, 0.6002611517906189]",False,,0.496177077293396
In which episode does Akashvani confirm Shakuntala’s purity?,1.74,"['1.73', '1.72', '1.71']","[0.5386009216308594, 0.5293468236923218, 0.5014201998710632]",False,,0.4187631905078888
Where is Bharata’s coronation described in the Mahabharata?,1.74,"['12.40', '14.59', '1.143']","[0.6199791431427002, 0.5186183452606201, 0.5077822804450989]",False,,0.4856525659561157
How is Shakuntala’s confrontation with Dushyanta depicted?,1.74,"['1.73', '1.69', '1.71']","[0.6159555912017822, 0.6072966456413269, 0.5532220602035522]",False,,0.4256688952445984
Which section describes King Pandu accidentally killing a sage disguised as a deer?,1.118,"['1.118', '1.119', '1.114']","[0.6545543074607849, 0.6043827533721924, 0.5598578453063965]",True,1.0,0.6545543670654297
