query,ground_truth,top_ids,correct_in_top_k,rank_of_correct
"How did Pramadvara die, and what caused her death?",1.8,"['1.9', '1.8', '15.38']",True,2.0
How was Pramadvara revived to live half of Ruru’s lifespan?,1.9,"['1.9', '1.8', '15.37']",True,1.0
What happened after Ruru and Pramadvara’s marriage?,1.9,"['1.8', '1.9', '5.120']",True,2.0
Why did Ruru vow to kill all snakes?,1.9,"['1.10', '1.37', '1.52']",False,
What teachings did Dundubhaka share with Ruru?,1.10,"['1.10', '1.11', '1.12']",True,1.0
What is the story of Dundubha’s past as revealed in his autobiography?,1.11,"['3.247', '1.59', '3.1']",False,
What lessons of non-violence did Dundubha impart to Ruru?,1.11,"['1.10', '1.11', '9.32']",True,2.0
How did Dundubha’s own life experiences influence his teachings to Ruru?,1.11,"['1.10', '1.11', '1.8']",True,2.0
Why was Ruru curious about Janamejaya’s snake charmer?,1.12,"['1.12', '1.13', '1.53']",True,1.0
How did Ruru’s father respond to or satisfy his curiosity?,1.12,"['1.12', '1.9', '1.8']",True,1.0
What was the significance of the snake charmer in Janamejaya’s story?,1.12,"['1.13', '1.53', '1.60']",False,
Why did Jaratkaru agree to marry at the request of his ancestors?,1.13,"['1.14', '1.46', '1.40']",False,
What was the background or reason behind Jaratkaru’s ancestors asking him to marry?,1.13,"['1.14', '1.46', '1.40']",False,
How did Jaratkaru’s marriage fulfill his ancestors’ wishes?,1.13,"['1.14', '1.46', '1.47']",False,
How did Jaratkaru come to marry Vasuki’s sister?,1.14,"['1.14', '1.39', '1.54']",True,1.0
What conditions or circumstances led to the union between Jaratkaru and Vasuki’s sister?,1.14,"['1.14', '1.47', '1.54']",True,1.0
What is the significance of Jaratkaru’s marriage to Vasuki’s sister in the Mahabharata?,1.14,"['1.14', '1.47', '1.54']",True,1.0
How did Vinata become Kadru’s slave?,1.23,"['1.20', '4.35', '3.242']",False,
What is the origin story of Garuda according to the Mahabharata?,1.23,"['1.31', '1.34', '1.23']",True,3.0
Why did the gods praise Garuda after his birth?,1.23,"['1.34', '1.23', '5.105']",True,2.0
What was the relationship between Vinata and Kadru in this episode?,1.23,"['8.87', '8.29', '4.53']",False,
Why did Garuda reduce his brilliance and size?,1.24,"['1.31', '5.105', '1.34']",False,
How did Aruna come to occupy his place as the charioteer of the Sun?,1.24,"['7.99', '3.42', '4.36']",False,
"What caused Surya’s intense brilliance and anger, and how was it pacified?",1.24,"['3.29', '1.173', '3.9']",False,
"What connection exists between Garuda, Aruna, and the Sun in this story?",1.24,"['5.112', '1.34', '1.23']",False,
Why did Kadru praise Lord Indra in this section?,1.25,"['1.31', '1.25', '3.229']",True,2.0
How did Indra save the snake that had fainted from the sun’s heat?,1.25,"['1.53', '1.56', '1.25']",True,3.0
How did Indra cause rain that pleased the serpents?,1.26,"['1.26', '1.53', '1.38']",True,1.0
What events led to the serpents’ happiness after the rain?,1.26,"['1.36', '1.27', '3.182']",False,
What is described about the forest of Ramaniyak Island?,1.27,"['6.6', '6.11', '14.27']",False,
How did Garuda plan to free himself from slavery to Kadru?,1.27,"['1.23', '1.34', '1.27']",True,3.0
What role did the serpents play in Garuda’s attempt to gain freedom?,1.27,"['1.27', '1.34', '1.30']",True,1.0
How is the beauty of Ramaniyak Island portrayed in the Mahabharata?,1.27,"['9.54', '6.6', '6.12']",False,
Why did Garuda go in search of nectar (amrita)?,1.28,"['1.27', '1.29', '1.34']",False,
Why did Garuda eat the Nishadas as instructed by his mother?,1.28,"['1.28', '1.29', '1.34']",True,1.0
What challenges did Garuda face on his journey for the nectar?,1.28,"['5.112', '1.34', '1.23']",False,
What story did Kashyapa tell Garuda about the previous births of the elephant and the tortoise?,1.29,"['1.30', '1.29', '1.16']",True,2.0
How did Garuda capture the elephant and the tortoise?,1.29,"['1.30', '1.29', '12.117']",True,2.0
What happened when Garuda met Kashyapa after the banyan branch broke?,1.30,"['1.30', '5.105', '6.56']",True,1.0
Why did Kashyapa request the Valakhilyas to leave the branch for penance?,1.30,"['13.94', '7.112', '15.8']",False,
How did Indra insult the Valakhilya sages?,1.31,"['1.31', '1.88', '14.11']",True,1.0
What penance did the Valakhilyas perform after being insulted by Indra?,1.31,"['1.31', '5.12', '12.22']",True,1.0
Why did Garuda engage in battle with the gods?,1.32,"['1.32', '1.34', '1.23']",True,1.0
What was the outcome of Garuda’s battle against the gods?,1.32,"['1.32', '5.105', '1.34']",True,1.0
"Which gods fought against Garuda, and how were they defeated?",1.32,"['1.32', '6.56', '1.23']",True,1.0
What happened when Garuda returned with the nectar (amrita)?,1.33,"['1.29', '1.27', '1.34']",False,
What boon did Lord Vishnu grant to Garuda on his journey?,1.33,"['1.33', '5.105', '1.34']",True,1.0
"Why did Indra strike Garuda with his thunderbolt, and what was the result?",1.33,"['14.10', '1.31', '3.288']",False,
How did Indra and Garuda become friends after their conflict?,1.34,"['1.34', '1.31', '5.12']",True,1.0
What did Garuda do with the nectar when he arrived among the snakes?,1.34,"['1.27', '1.29', '1.34']",True,3.0
How was Vinata released from slavery through Garuda’s actions?,1.34,"['1.23', '1.27', '1.28']",False,
What boon did Brahma grant to Sheshnag as a result of his penance?,1.36,"['13.152', '13.122', '12.161']",False,
How did Sheshnag come to hold the earth upon his head?,1.36,"['13.154', '13.100', '12.327']",False,
Why were the serpents cursed by their mother?,1.37,"['1.37', '1.54', '1.36']",True,1.0
How did Vasuki and the other serpents plan to escape from the curse?,1.37,"['1.37', '1.38', '1.39']",True,1.0
Why did Vasuki’s sister Jaratkaruka decide to marry Jaratkaru Muni?,1.38,"['1.14', '1.54', '1.47']",False,
What circumstances led to Jaratkaruka’s decision to marry the sage?,1.38,"['1.46', '1.14', '7.55']",False,
What did Brahma instruct Vasukika to do regarding his sister’s marriage?,1.39,"['1.14', '13.20', '1.189']",False,
How did Vasukika approach Jaratkaru Muni for the marriage proposal?,1.39,"['1.14', '1.46', '1.112']",False,
What penance did Jaratkaru perform in this section?,1.40,"['1.46', '1.40', '2.22']",True,2.0
What incident led King Parikshit to place a dead snake on the sage’s shoulder?,1.40,"['1.41', '1.50', '1.58']",False,
Why was Krushakaśṛṅgi distressed by the king’s act?,1.40,"['11.8', '15.2', '15.19']",False,
Why did Shringi Rishi curse King Parikshit?,1.41,"['1.41', '1.50', '1.3']",True,1.0
How did Sage Shamika react to his son Shringi’s curse?,1.41,"['1.42', '1.3', '7.71']",False,
Why did Shamika believe that the curse on King Parikshit was unfair?,1.41,"['1.42', '1.3', '1.49']",False,
What advice did Sage Shamika give his son after he cursed King Parikshit?,1.42,"['1.42', '1.49', '10.16']",True,1.0
Why did Shamika send Gaurmukha to deliver a message to King Parikshit?,1.42,"['1.42', '1.49', '7.126']",True,1.0
What preparations did King Parikshit make to protect himself from Takshaka’s curse?,1.42,"['1.41', '1.51', '1.50']",False,
"Why did Takshaka offer money to Kashyapa, and why did Kashyapa return it?",1.43,"['1.43', '1.58', '1.56']",True,1.0
How did Takshaka approach King Parikshit through deceit?,1.43,"['1.44', '1.41', '1.56']",False,
How did Takshaka finally kill King Parikshit?,1.43,"['1.41', '1.44', '1.51']",False,
How did Janamejaya’s coronation ceremony take place?,1.44,"['14.90', '1.60', '14.59']",False,
"Whom did Janamejaya marry, and under what circumstances?",1.44,"['1.95', '1.208', '1.3']",False,
What did Jaratkaru see in his vision of his ancestors?,1.45,"['1.40', '15.35', '2.24']",False,
What conversation took place between Jaratkaru and his forefathers?,1.45,"['1.46', '1.40', '12.54']",False,
Why were Jaratkaru’s ancestors in distress in his vision?,1.45,"['1.40', '15.35', '2.24']",False,
What condition did Jaratkaru set before agreeing to marry?,1.46,"['1.14', '1.46', '13.46']",True,2.0
How did Jaratkaru meet and marry the daughter of Vasukika?,1.46,"['1.14', '1.54', '1.47']",False,
Why was Vasukika’s daughter also named Jaratkaru?,1.46,"['1.14', '1.40', '1.54']",False,
How was the marriage between Jaratkaru and the serpent girl solemnized?,1.47,"['1.54', '1.14', '1.47']",True,3.0
How did the serpent girl serve her husband with devotion?,1.47,"['12.359', '13.46', '13.20']",False,
Why did Sage Jaratkaru abandon his wife after marriage?,1.47,"['1.14', '1.46', '1.47']",True,3.0
Where did Jaratkaru go to perform penance after leaving his wife?,1.47,"['1.46', '1.14', '1.40']",False,
Why was Vasuki Naga troubled after Jaratkaru left his sister?,1.48,"['1.48', '1.39', '1.54']",True,1.0
How did Vasuki’s sister console or relieve her brother’s worries?,1.48,"['1.47', '14.15', '12.44']",False,
"How was Aastika born, and who were his parents?",1.48,"['12.324', '2.18', '1.8']",False,
What qualities of righteousness and virtue did King Parikshit possess?,1.49,"['12.92', '12.70', '1.100']",False,
What happened during King Parikshit’s hunting expedition?,1.49,"['3.192', '1.41', '1.49']",True,3.0
Why did King Parikshit insult or disdain the sage Shamika?,1.49,"['1.42', '1.49', '7.55']",True,2.0
Why did Shringi Rishi curse King Parikshit?,1.50,"['1.41', '1.50', '1.3']",True,2.0
How did Takshaka fulfill the curse by killing King Parikshit?,1.50,"['1.41', '1.44', '1.51']",False,
Why did Kashyapa return after attempting to save Parikshit?,1.50,"['8.69', '8.65', '7.28']",False,
"How did Janamejaya react upon learning of his father’s death, and what vow did he make?",1.50,"['11.1', '8.8', '12.151']",False,
Why did the king decide to grant a boon to Aastika?,1.56,"['3.98', '15.2', '12.133']",False,
Why was Takshaka Naga worried during the serpent sacrifice?,1.56,"['1.53', '1.51', '3.66']",False,
What boon did Aastika request from the king?,1.56,"['12.324', '1.172', '15.2']",False,
Which were the chief snakes that were burnt in Janamejaya’s serpent sacrifice?,1.57,"['1.53', '1.13', '1.60']",False,
How are the names of the serpents listed or described in this chapter?,1.57,"['1.35', '1.57', '3.180']",True,2.0
When did Vyasa arrive at Janamejaya’s Yajna?,1.60,"['1.60', '15.29', '7.71']",True,1.0
Who requested Vaishampayana to narrate the Mahabharata?,1.60,"['5.198', '2.29', '10.11']",False,
In which episode does Vyasa ask Vaishampayana to tell the story of the Mahabharata?,1.60,"['6.2', '1.62', '10.11']",False,
Where in the Mahabharata is the narration of the epic formally begun?,1.60,"['1.59', '1.1', '1.62']",False,
Who initiated the recitation of the Mahabharata during Janamejaya’s sacrifice?,1.60,"['18.6', '1.60', '5.157']",True,2.0
Which section describes King Dushyanta’s power and governance abilities?,1.68,"['12.85', '12.115', '12.80']",False,
How is King Dushyanta’s rule and strength depicted in the Mahabharata?,1.68,"['9.15', '5.19', '7.10']",False,
Where is Dushyanta’s administrative skill and valor mentioned?,1.68,"['7.6', '9.15', '6.99']",False,
What attributes made King Dushyanta a capable ruler according to the text?,1.68,"['12.85', '7.43', '12.69']",False,
Where does King Dushyanta go hunting in the Mahabharata?,1.69,"['3.64', '3.240', '1.70']",False,
Which chapter narrates Dushyanta’s hunting expedition in the forest?,1.69,"['1.70', '3.240', '4.65']",False,
What animals does King Dushyanta hunt and kill?,1.69,"['7.68', '1.70', '3.240']",False,
Which passage describes Dushyanta’s encounter with wild beasts?,1.69,"['3.258', '1.70', '3.240']",False,
Which chapter describes Kanva’s ashram and its surroundings?,1.70,"['6.11', '3.164', '9.54']",False,
When does King Dushyanta enter Sage Kanva’s hermitage?,1.70,"['1.71', '1.74', '15.19']",False,
Where is the Tapovan described in connection with Dushyanta?,1.70,"['1.71', '1.171', '1.177']",False,
Which scene introduces Dushyanta’s arrival at Kanva’s ashram?,1.70,"['1.71', '5.47', '3.183']",False,
Where does Dushyanta first meet and converse with Shakuntala?,1.71,"['1.74', '1.71', '1.73']",True,2.0
In which part does Shakuntala narrate the story of her birth?,1.71,"['1.69', '1.74', '1.72']",False,
Which episode describes Indra sending Menaka to disturb Vishwamitra’s penance?,1.71,"['1.72', '14.11', '13.94']",False,
How are Shakuntala’s origins connected to Vishwamitra and Menaka in the Mahabharata?,1.71,"['1.72', '1.69', '13.3']",False,
Which chapter narrates the meeting of Menaka and Vishwamitra?,1.72,"['1.72', '1.175', '1.4']",True,1.0
Where is the birth and rescue of the child Shakuntala described?,1.72,"['1.74', '1.69', '1.72']",True,3.0
"Who raised Shakuntala after her birth, and how did she get her name?",1.72,"['1.74', '1.69', '1.71']",False,
How did the Shakunta birds protect the infant Shakuntala?,1.72,"['1.72', '1.32', '3.197']",True,1.0
Which section describes the Gandharva marriage between Shakuntala and Dushyanta?,1.73,"['1.73', '1.74', '1.71']",True,1.0
Who approved the marriage of Shakuntala and Dushyanta in the Mahabharata?,1.73,"['1.73', '1.74', '1.71']",True,1.0
What type of marriage took place between Shakuntala and Dushyanta?,1.73,"['1.73', '1.74', '1.71']",True,1.0
In which part is Kanva’s approval of Shakuntala’s marriage mentioned?,1.73,"['1.74', '1.72', '1.71']",False,
Which chapter narrates the birth of Shakuntala’s son Bharata?,1.74,"['1.69', '1.83', '14.70']",False,
Where does Shakuntala meet Dushyanta after giving birth to her son?,1.74,"['1.74', '1.71', '1.73']",True,1.0
In which episode does Akashvani confirm Shakuntala’s purity?,1.74,"['5.13', '1.71', '5.14']",False,
Where is Bharata’s coronation described in the Mahabharata?,1.74,"['3.54', '18.6', '12.40']",False,
How is Shakuntala’s confrontation with Dushyanta depicted?,1.74,"['1.74', '1.69', '1.71']",True,1.0
Which section describes King Pandu accidentally killing a sage disguised as a deer?,1.118,"['3.50', '1.118', '14.84']",True,2.0
Who cursed King Pandu and why?,1.118,"['1.125', '1.142', '5.127']",False,
Where is the origin of Pandu’s curse narrated?,1.118,"['1.125', '1.114', '1.119']",False,
What event caused Pandu to renounce his royal duties?,1.118,"['1.127', '5.20', '1.203']",False,
Which chapter describes King Pandu’s repentance for killing the sage?,1.119,"['1.150', '1.125', '1.119']",True,3.0
Where does Pandu renounce worldly life and take sannyasa?,1.119,"['1.126', '1.120', '1.127']",False,
What role did Pandu’s wives play in his decision to enter the forest?,1.119,"['1.114', '1.125', '15.18']",False,
Which episode marks Pandu’s entry into Vanaprastha Ashram?,1.119,"['5.32', '5.47', '9.62']",False,
Which story in the Mahabharata describes Bhadra giving birth from the body of her dead husband?,1.121,"['4.17', '5.190', '3.63']",False,
"Who was Vyushitashva, and what was the miracle involving his wife Bhadra?",1.121,"['1.121', '14.66', '1.106']",True,1.0
Where is the tale of Bhadra and Vyushitashva mentioned?,1.121,"['2.31', '14.66', '1.178']",False,
Which section recounts the miraculous birth narrated by Bhadra?,1.121,"['1.59', '14.66', '14.70']",False,
Which episode narrates the return of Kunti and the Pandavas to Hastinapura?,1.126,"['15.18', '1.207', '3.311']",False,
Who escorted the Pandavas and Kunti to Bhishma after Pandu’s death?,1.126,"['1.206', '1.203', '1.126']",True,3.0
Where does the Mahabharata describe the meeting between Bhishma and the Pandavas?,1.126,"['6.116', '6.89', '6.59']",False,
What was Bhishma’s role in receiving Kunti and her sons?,1.126,"['1.203', '15.2', '12.326']",False,
Where is the funeral of Pandu and Madri described?,1.127,"['1.127', '1.125', '1.113']",True,1.0
Which section mentions the Pandavas performing rites for their parents?,1.127,"['15.24', '15.22', '15.18']",False,
How did the brothers offer water and tribute to Pandu and Madri?,1.127,"['1.113', '1.127', '1.114']",True,2.0
What significance does this ritual hold in the Pandavas’ early life?,1.127,"['15.24', '15.27', '2.77']",False,
Which chapter describes the childhood of the Pandavas and Kauravas?,1.128,"['15.24', '3.311', '3.182']",False,
Where is Duryodhana’s attempt to poison Bhima mentioned?,1.128,"['6.78', '7.177', '11.15']",False,
What happened to Bhima after he was pushed into the Ganga?,1.128,"['1.129', '8.76', '11.13']",False,
Which section narrates Bhima’s journey to Nagaloka and his drinking of divine nectar?,1.128,"['3.161', '3.152', '4.17']",False,
Which section describes Kunti’s anxiety over Bhima’s disappearance?,1.129,"['1.129', '1.162', '3.161']",True,1.0
Where does Bhima return from the Nagaloka after gaining strength?,1.129,"['1.129', '8.76', '4.21']",True,1.0
How did Duryodhana react after Bhima’s return from the Nagas’ realm?,1.129,"['1.129', '9.61', '15.3']",True,1.0
Which chapter continues the conflict between Bhima and Duryodhana after Bhima’s return?,1.129,"['6.78', '1.129', '7.177']",True,2.0
Who built the secret tunnel beneath the Lakshagriha?,1.147,"['14.65', '1.6', '3.163']",False,
Which miner did Vidura send to construct a tunnel for the Pandavas?,1.147,"['1.147', '1.149', '3.5']",True,1.0
Where in the Mahabharata is the tunnel under the house of lac described?,1.147,"['3.129', '14.65', '12.44']",False,
How did Vidura help the Pandavas prepare for their escape from the Lakshagriha?,1.147,"['3.7', '3.5', '14.15']",False,
Which chapter describes the burning of the house of lac (Lakshagriha)?,1.148,"['1.150', '1.141', '1.148']",True,3.0
How did the Pandavas escape from the burning Lakshagriha?,1.148,"['6.89', '15.24', '1.226']",False,
Where is the Pandavas’ night-time escape through the tunnel mentioned?,1.148,"['4.26', '15.24', '1.152']",False,
"Who set fire to the Lakshagriha, and what was the outcome?",1.148,"['1.181', '1.226', '7.177']",False,
Who arranged for the Pandavas to cross the Ganga after escaping the Lakshagriha?,1.149,"['1.170', '3.114', '15.24']",False,
Which sailor helped the Pandavas flee across the river?,1.149,"['4.26', '15.24', '9.30']",False,
Where is Vidura’s assistance in ferrying the Pandavas across the Ganges described?,1.149,"['3.5', '1.170', '1.149']",True,3.0
What role did the boatman play in helping the Pandavas escape?,1.149,"['9.30', '15.24', '4.26']",False,
Which chapter narrates Dhritarashtra’s mourning and offering of water for the supposedly dead Pandavas?,1.150,"['9.30', '15.24', '6.59']",False,
Where is the ritual condolence for the Pandavas mentioned?,1.150,"['15.24', '1.213', '3.258']",False,
How did Dhritarashtra and others react to the news of the Pandavas’ death in the fire?,1.150,"['1.150', '9.61', '9.30']",True,1.0
Which passage marks the Pandavas’ entry into the forest after the Lakshagriha incident?,1.150,"['3.258', '15.24', '3.163']",False,
Which section describes Bhima’s sorrow seeing his family suffer in the forest?,1.151,"['1.151', '1.129', '3.161']",True,1.0
Where is Bhimasena shown bringing water for Kunti?,1.151,"['3.153', '3.154', '3.161']",False,
How does Bhima react to Kunti and his brothers sleeping on the bare ground?,1.151,"['1.129', '3.161', '3.35']",False,
In which episode does Bhima express anger towards Duryodhana after their escape?,1.151,"['6.80', '6.78', '7.177']",False,
Where does Hidimbi first encounter Bhima and the Pandavas?,1.152,"['1.153', '1.154', '1.152']",True,3.0
Which chapter introduces the demoness Hidimba and her dialogue with Bhima?,1.152,"['1.154', '1.153', '1.155']",False,
How is the first meeting between Bhima and Hidimba described?,1.152,"['1.154', '1.153', '1.155']",False,
Who sends Hidimbi to meet the Pandavas and why?,1.152,"['1.154', '1.152', '15.24']",True,2.0
Which section narrates the battle between Bhima and the demon Hidimba?,1.153,"['1.154', '1.153', '7.131']",True,2.0
Where is Hidimbasura’s fear and confrontation with Bhimasena mentioned?,1.153,"['1.155', '3.178', '1.154']",False,
Who fights Hidimba in the Mahabharata and what happens in that combat?,1.153,"['7.177', '1.154', '1.153']",True,3.0
Which chapter depicts Bhima’s combat with the rakshasa Hidimbasura?,1.153,"['7.177', '1.154', '1.153']",True,3.0
In which episode does Bhima slay Hidimbasura?,1.154,"['1.154', '1.155', '1.129']",True,1.0
Where does Hidimba express her affection toward Bhima and Kunti?,1.154,"['1.154', '1.155', '1.152']",True,1.0
Who kills the rakshasa Hidimba and under what circumstances?,1.154,"['1.155', '1.154', '7.177']",True,2.0
Which passage describes Hidimba’s confession of feelings before Bhima kills Hidimbasura?,1.154,"['1.155', '1.153', '1.154']",True,3.0
Which chapter tells of Yudhishthira stopping Bhima from killing Hidimba?,1.155,"['1.155', '1.154', '7.177']",True,1.0
Where is the story of Bhima and Hidimbi’s union and the birth of Ghatotkacha narrated?,1.155,"['1.154', '1.129', '3.161']",False,
Who was Ghatotkacha and how was he born?,1.155,"['7.176', '7.178', '7.180']",False,
Which section contains Hidimbi’s prayer to Bhima before their marriage?,1.155,"['1.155', '1.154', '3.154']",True,1.0
Where do the Pandavas meet Vyasa after escaping the forest?,1.156,"['3.258', '15.24', '1.152']",False,
Which chapter marks the Pandavas’ arrival at Ekachakra?,1.156,"['15.24', '5.7', '3.258']",False,
Who guides the Pandavas to settle temporarily in Ekachakra?,1.156,"['4.29', '15.18', '4.26']",False,
Where is the meeting between Vyasa and the Pandavas described after the Lakshagriha incident?,1.156,"['15.24', '9.3', '15.28']",False,
Where is the Pandavas’ departure to the forest described?,3.1,"['15.18', '3.258', '3.238']",False,
Which chapter mentions the Pandavas staying overnight at Praman-Kotirtha?,3.1,"['15.24', '3.258', '1.213']",False,
What discussion does Yudhishthira have with the Brahmins about wealth and hospitality?,3.2,"['13.8', '13.63', '12.124']",False,
Which chapter records Shaunaka’s dialogue with Yudhishthira on dharma and welfare?,3.2,"['1.4', '3.161', '1.59']",False,
Where does Yudhishthira obtain the Akshaya Patra from Surya?,3.3,"['3.158', '13.68', '13.47']",False,
Which section describes Yudhishthira’s prayer to Lord Surya for sustenance?,3.3,"['15.8', '14.2', '12.9']",False,
Which chapter describes Vidura advising Dhritarashtra?,3.4,"['5.33', '5.41', '11.4']",False,
Where does Dhritarashtra become angry and leave the palace after Vidura’s counsel?,3.4,"['5.33', '5.41', '15.16']",False,
Where do the Pandavas enter Kamyakavana during their exile?,3.5,"['3.258', '3.238', '4.26']",False,
Which chapter narrates Vidura’s meeting with the Pandavas in Kamyakavana?,3.5,"['3.6', '3.7', '3.5']",True,3.0
Who sends Sanjaya to bring Vidura back from the forest?,3.6,"['5.33', '3.6', '5.32']",True,2.0
In which chapter does Dhritarashtra ask for Vidura’s forgiveness?,3.6,"['5.41', '5.33', '5.35']",False,
Where do Duryodhana and his allies plan to attack the Pandavas in the forest?,3.7,"['4.26', '3.258', '3.262']",False,
Which chapter mentions Vyasa stopping Duryodhana from harming the Pandavas?,3.7,"['3.8', '3.7', '3.262']",True,2.0
Which section records Vyasa advising Dhritarashtra against Duryodhana’s injustice?,3.8,"['9.61', '6.90', '7.24']",False,
Where does Vyasa intervene to protect the Pandavas from Duryodhana’s schemes?,3.8,"['3.8', '3.7', '3.248']",True,1.0
What is the story of Surabhi and Indra narrated by Vyasa?,3.9,"['3.9', '1.197', '5.9']",True,1.0
Where does Vyasa describe Surabhi and Indra showing kindness to the Pandavas?,3.9,"['14.15', '15.24', '3.262']",False,
Who curses Duryodhana for his arrogance towards Maitreya?,3.10,"['3.49', '2.64', '5.127']",False,
Which chapter describes Maitreya advising Dhritarashtra to be kind to the Pandavas?,3.10,"['3.262', '6.59', '5.48']",False,
Which section records Draupadi lamenting her humiliation before Krishna?,3.12,"['3.273', '3.27', '4.20']",False,
Where do Arjuna and Krishna assure Draupadi after her insult?,3.12,"['3.273', '7.89', '7.33']",False,
Where does Krishna discuss the evils of gambling with the Pandavas?,3.13,"['3.13', '2.63', '2.58']",True,1.0
Which chapter mentions Krishna regretting his absence during the dice game?,3.13,"['3.13', '3.21', '11.26']",True,1.0
Which chapter describes Krishna’s battle with Shalva and the destruction of Saubha?,3.14,"['3.15', '3.20', '3.16']",False,
Where is Shalva’s defeat by Krishna narrated?,3.14,"['3.20', '3.21', '3.14']",True,3.0
Where are Dwaraka’s war preparations against Shalva described?,3.15,"['3.16', '3.20', '3.21']",False,
Which section narrates Krishna’s military preparations before the Saubha battle?,3.15,"['3.15', '3.16', '3.22']",True,1.0
Which chapter depicts the Yadava army fighting Shalva’s forces?,3.16,"['3.17', '3.16', '9.16']",True,2.0
Where is Pradyumna shown assuring the Yadava army in battle?,3.16,"['12.99', '6.22', '7.20']",False,
Which section narrates the duel between Pradyumna and Shalva?,3.17,"['3.17', '3.18', '3.271']",True,1.0
Where does Pradyumna fight Shalva in a fierce battle?,3.17,"['3.17', '3.18', '12.99']",True,1.0
Which chapter shows Pradyumna rebuking his charioteer for withdrawing him from battle?,3.18,"['3.18', '3.19', '8.26']",True,1.0
Where is Pradyumna’s remorse described after being carried from the field?,3.18,"['3.18', '11.16', '11.18']",True,1.0
Where does Pradyumna defeat Shalva in combat?,3.19,"['3.18', '3.17', '3.19']",True,3.0
Which section records Shalva’s downfall at Pradyumna’s hands?,3.19,"['3.17', '3.18', '11.23']",False,
Which chapter narrates the final battle between Krishna and Shalva?,3.20,"['3.21', '3.17', '3.20']",True,3.0
Where does Krishna destroy Shalva in direct combat?,3.20,"['3.14', '3.20', '3.21']",True,2.0
Which section records Draupadi’s anger at Yudhishthira during exile?,3.27,"['11.12', '3.27', '4.18']",True,2.0
Where does Draupadi urge Yudhishthira to fight his enemies?,3.27,"['8.60', '4.18', '12.103']",False,
Which chapter contains Draupadi’s narration of the dialogue between Prahlad and Bali?,3.28,"['3.28', '3.27', '4.19']",True,1.0
Where is the story of Prahlad and Bali used by Draupadi to teach forgiveness?,3.28,"['3.28', '3.27', '4.19']",True,1.0
Where does Yudhishthira discuss the dangers of anger and the virtue of forgiveness?,3.29,"['3.29', '12.163', '12.278']",True,1.0
Which section records Yudhishthira praising forgiveness as a supreme virtue?,3.29,"['12.299', '12.158', '12.278']",False,
Where does Draupadi criticize Yudhishthira’s sense of dharma and justice?,3.30,"['3.27', '12.27', '4.18']",False,
Which chapter describes Draupadi’s grief and reproach of Yudhishthira’s wisdom?,3.30,"['3.27', '4.18', '3.273']",False,
Which section contains Yudhishthira’s response to Draupadi’s objections about dharma?,3.31,"['3.27', '12.200', '4.18']",False,
Where does Yudhishthira explain the benefits of honoring God and sages?,3.31,"['13.139', '13.8', '13.152']",False,
Where does Draupadi urge Yudhishthira to value effort over destiny?,3.32,"['4.18', '3.32', '3.30']",True,2.0
Which chapter records Draupadi emphasizing the importance of human endeavor?,3.32,"['3.32', '3.28', '3.30']",True,1.0
Which section praises Bhima’s valor and urges Yudhishthira to follow Kshatriya dharma?,3.33,"['7.127', '3.161', '3.36']",False,
